DSPAWN,DSTART,TIME,TANK_ID,AQUARIA_ID,TILE_ID,COLUMN_NO,ROW_NO,COLUMN_UNIQUE,ROW_UNIQUE,DENSITY,GENUS,SPECIES,ADULT,REP_AQUARIA,REP_TILE,SETTLE_PHOTO,SETTLE_COUNT,OBSERVER,TOOL,SETTLE_TISSUE,SETTLE_S,SETTLE_D,SETTLE_P,SETTLE_DEN,STP1_COUNT,STP1_OBSERVER,STP1_TOOL,STP1_DEAD,STP1_S,STP1_D,STP1_P,TREAT_STP1_P,STP1_DEN,STP2_OBSERVER,TOOL,STP2_DEAD,STP2_S,STP2_D,SET_STP2_D,STP2_P,STP2_DEN,SET_STP2_P,TREAT_STP2_P
13-Apr-17,18-Apr-17,5-7pm,TANK4,22,258,2,2,44,62,10,Anacropora,Anacropora_spinosa,ABSENT,A3,T2,22-Apr-17,25-Apr-17,Carrie,Disecting,no,9,1,0.9,0.131,30-Apr-17,Carrie,Disecting,no,8,1,0.89,0.8,0.117,Carrie,Disecting,no,7,1,2,0.88,0.1,0.78,0.7
13-Apr-17,18-Apr-17,5-7pm,TANK4,22,259,2,3,44,63,200,Anacropora,Anacropora_spinosa,ABSENT,A3,T2,22-Apr-17,25-Apr-17,Carrie,Disecting,no,134,66,0.67,1.952,30-Apr-17,Carrie,Disecting,no,128,6,0.96,0.64,1.864,Carrie,Disecting,no,115,13,19,0.9,1.67,0.86,0.575
13-Apr-17,18-Apr-17,5-7pm,TANK4,22,260,2,4,44,64,100,Anacropora,Anacropora_spinosa,ABSENT,A3,T2,22-Apr-17,25-Apr-17,Carrie,Disecting,no,68,32,0.68,0.99,30-Apr-17,Carrie,Disecting,no,66,2,0.97,0.66,0.961,Carrie,Disecting,no,60,6,8,0.91,0.87,0.88,0.6
13-Apr-17,18-Apr-17,5-7pm,TANK4,22,261,3,1,45,61,100,Anacropora,Anacropora_spinosa,ABSENT,A3,T3,22-Apr-17,25-Apr-17,Carrie,Disecting,no,46,54,0.46,0.67,30-Apr-17,Carrie,Disecting,no,42,4,0.91,0.42,0.612,Carrie,Disecting,no,40,2,6,0.95,0.58,0.87,0.4
13-Apr-17,18-Apr-17,5-7pm,TANK4,22,262,3,2,45,62,200,Anacropora,Anacropora_spinosa,ABSENT,A3,T3,22-Apr-17,25-Apr-17,Carrie,Disecting,no,104,96,0.52,1.515,30-Apr-17,Carrie,Disecting,no,100,4,0.96,0.5,1.456,Carrie,Disecting,no,99,1,5,0.99,1.44,0.95,0.495
13-Apr-17,18-Apr-17,5-7pm,TANK4,22,263,3,3,45,63,10,Anacropora,Anacropora_spinosa,ABSENT,A3,T3,22-Apr-17,25-Apr-17,Carrie,Disecting,no,5,5,0.5,0.073,30-Apr-17,Carrie,Disecting,no,4,1,0.8,0.4,0.058,Carrie,Disecting,no,4,0,1,1,0.06,0.8,0.4
13-Apr-17,18-Apr-17,5-7pm,TANK4,22,264,3,4,45,64,50,Anacropora,Anacropora_spinosa,ABSENT,A3,T3,22-Apr-17,25-Apr-17,Carrie,Disecting,no,27,23,0.54,0.393,30-Apr-17,Carrie,Disecting,no,26,1,0.96,0.52,0.379,Carrie,Disecting,no,24,2,3,0.92,0.35,0.89,0.48
12-Apr-17,18-Apr-17,4-5pm,TANK4,23,265,1,1,46,65,200,Acropora,Acropora_digitifera,PRESENT,A3,T1,22-Apr-17,26-Apr-17,Sun,Dinoscope,yes,4,196,0.02,0.058,30-Apr-17,Sun,Dinoscope,yes,4,0,1,0.02,0.058,Carrie,Disecting,yes,2,2,2,0.5,0.03,0.5,0.01
12-Apr-17,18-Apr-17,4-5pm,TANK4,23,266,1,2,46,66,100,Acropora,Acropora_digitifera,PRESENT,A3,T1,22-Apr-17,26-Apr-17,Sun,Dinoscope,yes,17,83,0.17,0.248,30-Apr-17,Sun,Dinoscope,yes,16,1,0.94,0.16,0.233,Carrie,Disecting,yes,13,3,4,0.81,0.19,0.76,0.13
12-Apr-17,18-Apr-17,4-5pm,TANK4,23,267,1,3,46,67,10,Acropora,Acropora_digitifera,PRESENT,A3,T1,22-Apr-17,26-Apr-17,Sun,Dinoscope,yes,5,5,0.5,0.073,30-Apr-17,Sun,Dinoscope,yes,4,1,0.8,0.4,0.058,Carrie,Disecting,yes,4,0,1,1,0.06,0.8,0.4
12-Apr-17,18-Apr-17,4-5pm,TANK4,23,268,1,4,46,68,50,Acropora,Acropora_digitifera,PRESENT,A3,T1,22-Apr-17,26-Apr-17,Sun,Dinoscope,yes,2,48,0.04,0.029,30-Apr-17,Sun,Dinoscope,yes,2,0,1,0.04,0.029,Carrie,Disecting,yes,2,0,0,1,0.03,1,0.04
12-Apr-17,18-Apr-17,4-5pm,TANK4,23,269,2,1,47,65,50,Acropora,Acropora_digitifera,PRESENT,A3,T2,22-Apr-17,26-Apr-17,Sun,Dinoscope,yes,6,44,0.12,0.087,30-Apr-17,Sun,Dinoscope,yes,6,0,1,0.12,0.087,Carrie,Disecting,yes,6,0,0,1,0.09,1,0.12
12-Apr-17,18-Apr-17,4-5pm,TANK4,23,270,2,2,47,66,10,Acropora,Acropora_digitifera,PRESENT,A3,T2,22-Apr-17,26-Apr-17,Sun,Dinoscope,yes,1,9,0.1,0.015,30-Apr-17,Sun,Dinoscope,yes,1,0,1,0.1,0.015,Carrie,Disecting,yes,1,0,0,1,0.01,1,0.1
12-Apr-17,18-Apr-17,4-5pm,TANK4,23,271,2,3,47,67,200,Acropora,Acropora_digitifera,PRESENT,A3,T2,22-Apr-17,26-Apr-17,Sun,Dinoscope,yes,2,198,0.01,0.029,30-Apr-17,Sun,Dinoscope,yes,2,0,1,0.01,0.029,Carrie,Disecting,yes,2,0,0,1,0.03,1,0.01
12-Apr-17,18-Apr-17,4-5pm,TANK4,23,272,2,4,47,68,100,Acropora,Acropora_digitifera,PRESENT,A3,T2,22-Apr-17,26-Apr-17,Sun,Dinoscope,yes,62,38,0.62,0.903,30-Apr-17,Sun,Dinoscope,yes,59,3,0.95,0.59,0.859,Carrie,Disecting,yes,55,4,7,0.93,0.8,0.89,0.55
12-Apr-17,18-Apr-17,4-5pm,TANK4,23,273,3,1,48,65,200,Acropora,Acropora_digitifera,PRESENT,A3,T3,22-Apr-17,26-Apr-17,Sun,Dinoscope,yes,2,198,0.01,0.029,30-Apr-17,Sun,Dinoscope,yes,2,0,1,0.01,0.029,Carrie,Disecting,yes,2,0,0,1,0.03,1,0.01
12-Apr-17,18-Apr-17,4-5pm,TANK4,23,274,3,2,48,66,100,Acropora,Acropora_digitifera,PRESENT,A3,T3,22-Apr-17,26-Apr-17,Sun,Dinoscope,yes,1,99,0.01,0.015,30-Apr-17,Sun,Dinoscope,yes,1,0,1,0.01,0.015,Carrie,Disecting,yes,1,0,0,1,0.01,1,0.01
12-Apr-17,18-Apr-17,4-5pm,TANK4,23,275,3,3,48,67,50,Acropora,Acropora_digitifera,PRESENT,A3,T3,22-Apr-17,26-Apr-17,Sun,Dinoscope,yes,4,46,0.08,0.058,30-Apr-17,Sun,Dinoscope,yes,4,0,1,0.08,0.058,Carrie,Disecting,yes,3,1,1,0.75,0.04,0.75,0.06
12-Apr-17,18-Apr-17,4-5pm,TANK4,23,276,3,4,48,68,10,Acropora,Acropora_digitifera,PRESENT,A3,T3,22-Apr-17,26-Apr-17,Sun,Dinoscope,yes,3,7,0.3,0.044,30-Apr-17,Sun,Dinoscope,yes,3,0,1,0.3,0.044,Carrie,Disecting,yes,3,0,0,1,0.04,1,0.3
13-Apr-17,19-Apr-17,12-1pm,TANK4,24,277,1,1,49,69,50,Acropora,Acropora_gemmifera,ABSENT,A3,T1,23-Apr-17,25-Apr-17,Sun,Dinoscope,no,17,33,0.34,0.248,01-May-17,Sun,Dinoscope,no,14,3,0.82,0.28,0.204,Carrie,Disecting,no,7,7,10,0.5,0.1,0.41,0.14
13-Apr-17,19-Apr-17,12-1pm,TANK4,24,278,1,2,49,70,100,Acropora,Acropora_gemmifera,ABSENT,A3,T1,23-Apr-17,25-Apr-17,Sun,Dinoscope,no,29,71,0.29,0.422,01-May-17,Sun,Dinoscope,no,23,6,0.79,0.23,0.335,Carrie,Disecting,no,1,22,28,0.04,0.01,0.03,0.01
13-Apr-17,19-Apr-17,12-1pm,TANK4,24,279,1,3,49,71,10,Acropora,Acropora_gemmifera,ABSENT,A3,T1,23-Apr-17,25-Apr-17,Sun,Dinoscope,no,7,3,0.7,0.102,01-May-17,Sun,Dinoscope,no,6,1,0.86,0.6,0.087,Carrie,Disecting,no,5,1,2,0.83,0.07,0.71,0.5
13-Apr-17,19-Apr-17,12-1pm,TANK4,24,280,1,4,49,72,200,Acropora,Acropora_gemmifera,ABSENT,A3,T1,23-Apr-17,25-Apr-17,Sun,Dinoscope,no,174,26,0.87,2.534,01-May-17,Sun,Dinoscope,no,166,8,0.95,0.83,2.418,Carrie,Disecting,no,74,92,100,0.45,1.08,0.43,0.37
13-Apr-17,19-Apr-17,12-1pm,TANK4,24,281,2,1,50,69,10,Acropora,Acropora_gemmifera,ABSENT,A3,T2,23-Apr-17,25-Apr-17,Sun,Dinoscope,no,4,6,0.4,0.058,01-May-17,Sun,Dinoscope,no,3,1,0.75,0.3,0.044,Carrie,Disecting,no,1,2,3,0.33,0.01,0.25,0.1
13-Apr-17,19-Apr-17,12-1pm,TANK4,24,282,2,2,50,70,200,Acropora,Acropora_gemmifera,ABSENT,A3,T2,23-Apr-17,25-Apr-17,Sun,Dinoscope,no,119,81,0.595,1.733,01-May-17,Sun,Dinoscope,no,108,11,0.91,0.54,1.573,Carrie,Disecting,no,27,81,92,0.25,0.39,0.23,0.135
13-Apr-17,19-Apr-17,12-1pm,TANK4,24,283,2,3,50,71,50,Acropora,Acropora_gemmifera,ABSENT,A3,T2,23-Apr-17,25-Apr-17,Sun,Dinoscope,no,19,31,0.38,0.277,01-May-17,Sun,Dinoscope,no,18,1,0.95,0.36,0.262,Carrie,Disecting,no,3,15,16,0.17,0.04,0.16,0.06
13-Apr-17,19-Apr-17,12-1pm,TANK4,24,284,2,4,50,72,100,Acropora,Acropora_gemmifera,ABSENT,A3,T2,23-Apr-17,25-Apr-17,Sun,Dinoscope,no,47,53,0.47,0.685,01-May-17,Sun,Dinoscope,no,44,3,0.94,0.44,0.641,Carrie,Disecting,no,29,15,18,0.66,0.42,0.62,0.29
13-Apr-17,19-Apr-17,12-1pm,TANK4,24,285,3,1,51,69,100,Acropora,Acropora_gemmifera,ABSENT,A3,T3,23-Apr-17,25-Apr-17,Sun,Dinoscope,no,39,61,0.39,0.568,01-May-17,Sun,Dinoscope,no,39,0,1,0.39,0.568,Carrie,Disecting,no,18,21,21,0.46,0.26,0.46,0.18
13-Apr-17,19-Apr-17,12-1pm,TANK4,24,286,3,2,51,70,10,Acropora,Acropora_gemmifera,ABSENT,A3,T3,23-Apr-17,25-Apr-17,Sun,Dinoscope,no,3,7,0.3,0.044,01-May-17,Sun,Dinoscope,no,3,0,1,0.3,0.044,Carrie,Disecting,no,1,2,2,0.33,0.01,0.33,0.1
13-Apr-17,19-Apr-17,12-1pm,TANK4,24,287,3,3,51,71,200,Acropora,Acropora_gemmifera,ABSENT,A3,T3,23-Apr-17,25-Apr-17,Sun,Dinoscope,no,52,148,0.26,0.757,01-May-17,Sun,Dinoscope,no,50,2,0.96,0.25,0.728,Carrie,Disecting,no,22,28,30,0.44,0.32,0.42,0.11
13-Apr-17,19-Apr-17,12-1pm,TANK4,24,288,3,4,51,72,50,Acropora,Acropora_gemmifera,ABSENT,A3,T3,23-Apr-17,25-Apr-17,Sun,Dinoscope,no,38,12,0.76,0.553,01-May-17,Sun,Dinoscope,no,36,2,0.95,0.72,0.524,Carrie,Disecting,no,13,23,25,0.36,0.19,0.34,0.26
